naics,naics_title,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,Dog and Cat Food Manufacturing,1958,18.0,81.3,12.0,25.7,49.8,1042.4,752.4,266.9,17.8,59.5,7.0,1212.7,517.6,695.0,0.35400000214576705,0.133000001311302,0.16799999773502403,0.11599999666214,,0.31700000166893,,0.31799998879432695
311111,Dog and Cat Food Manufacturing,1959,17.9,82.5,11.8,25.5,49.4,1051.0,758.9,268.7,18.3,65.2,7.7,1299.0,573.7,725.3,0.34499999880790694,0.13099999725818598,0.168999999761581,0.11500000208616301,0.0020000000949949,0.31799998879432695,0.0020000000949949,0.31799998879432695
311111,Dog and Cat Food Manufacturing,1960,17.7,84.8,11.7,25.4,50.0,1050.2,752.8,269.9,16.1,58.2,8.5,1350.7,611.6,739.2,0.273999989032745,0.128999993205071,0.172999992966652,0.11900000274181402,0.216999992728233,0.393999993801117,0.21600000560283703,0.395000010728836
311111,Dog and Cat Food Manufacturing,1961,17.5,87.4,11.5,25.4,51.4,1119.7,803.6,287.8,14.5,58.1,9.3,1394.4,642.6,752.0,0.273000001907349,0.13099999725818598,0.172000005841255,0.11699999868869802,0.0240000002086163,0.404000014066696,0.0240000002086163,0.40500000119209295
311111,Dog and Cat Food Manufacturing,1962,17.6,90.2,11.5,25.2,52.1,1175.7,853.3,294.5,18.4,61.9,10.1,1437.8,669.1,768.7,0.27700001001358004,0.131999999284744,0.17399999499320998,0.11900000274181402,-0.00700000021606684,0.40099999308586104,-0.00700000021606684,0.40200001001358004
311111,Dog and Cat Food Manufacturing,1963,17.1,89.8,11.0,23.9,52.1,1249.1,893.6,328.7,17.3,71.9,10.2,1478.1,696.5,781.6,0.27599999308586104,0.131999999284744,0.17800000309944197,0.11900000274181402,0.0260000005364418,0.412000000476837,0.0260000005364418,0.412000000476837
311111,Dog and Cat Food Manufacturing,1964,16.6,90.8,10.6,23.5,52.2,1245.6,890.2,326.8,16.3,70.6,10.8,1539.4,730.7,808.7,0.268999993801117,0.131999999284744,0.180000007152557,0.11699999868869802,0.0199999995529652,0.419999986886978,0.0199999995529652,0.42100000381469704
311111,Dog and Cat Food Manufacturing,1965,16.0,90.8,10.2,22.7,51.8,1283.5,928.1,324.7,21.5,71.7,11.4,1575.5,756.1,819.3,0.275000005960464,0.138999998569489,0.184000000357628,0.11599999666214,0.0120000001043081,0.42500001192092896,0.0120000001043081,0.42599999904632596
311111,Dog and Cat Food Manufacturing,1966,16.1,96.1,10.2,22.6,53.9,1428.8,1049.9,344.8,20.1,79.5,12.1,1630.7,795.7,835.0,0.28999999165535,0.14599999785423298,0.189999997615814,0.11599999666214,-0.00700000021606684,0.421999990940094,-0.00700000021606684,0.42300000786781294
311111,Dog and Cat Food Manufacturing,1967,16.7,105.0,11.0,23.9,61.3,1544.1,1101.6,410.0,24.5,86.2,12.7,1668.2,818.8,849.4,0.29100000858306896,0.141000002622604,0.19699999690055803,0.112999998033047,0.00700000021606684,0.42500001192092896,0.00700000021606684,0.42599999904632596
311111,Dog and Cat Food Manufacturing,1968,16.6,109.6,10.9,23.5,64.0,1532.6,1070.9,426.6,29.2,82.0,13.4,1722.5,851.6,870.9,0.28499999642372104,0.142000004649162,0.20700000226497697,0.11200000345706901,0.0329999998211861,0.43900001049041704,0.0320000015199184,0.439999997615814
